Computing M_k(n) for 0 <= n <= 1000 ...
    n |      type |                L4(n) | status
  175 | composite |      218520462720000 | OK
  176 | composite |   -86361701197749120 | OK
  177 | composite |    -9699498329160960 | OK
  178 | composite |   -93630307669778880 | OK
  179 |     prime |                    0 | OK
  180 | composite |  -115023517746505200 | OK
  181 |     prime |                    0 | OK
  182 | composite |  -112375564826878080 | OK
  183 | composite |   -12960724437688320 | OK
  184 | composite |  -124586724009648000 | OK
  185 | composite |       68212429689600 | OK
  186 | composite |  -149124941852866560 | OK
  187 | composite |      -84245829212160 | OK
  188 | composite |  -148884876519926400 | OK
  189 | composite |   -16903312946150400 | OK
  190 | composite |  -160203667086206400 | OK
  191 |     prime |                    0 | OK
  192 | composite |  -196430289632156160 | OK
  193 |     prime |                    0 | OK
  194 | composite |  -190121234078958336 | OK
  195 | composite |   -22612175703936000 | OK
  196 | composite |  -209723196972230760 | OK
  197 |     prime |                    0 | OK
  198 | composite |  -250111011110194080 | OK
  199 |     prime |                    0 | OK
  200 | composite |  -247891956477858000 | OK
  201 | composite |   -29141980119141120 | OK
  202 | composite |  -264963142240485600 | OK
  203 | composite |      366865818762240 | OK
  204 | composite |  -324651335856474816 | OK
  205 | composite |     -190373177971200 | OK
  206 | composite |  -311228051933897280 | OK
  207 | composite |   -37429321487201280 | OK
  208 | composite |  -342353466854817600 | OK
  209 | composite |     -118729984032000 | OK
  210 | composite |  -406450470875904000 | OK
  211 |     prime |                    0 | OK
  212 | composite |  -400464555332157360 | OK
  213 | composite |   -47911828348823040 | OK
  214 | composite |  -425383671756417696 | OK
  215 | composite |     -509658447513600 | OK
  216 | composite |  -520084545738537600 | OK
  217 | composite |      581834213560320 | OK
  218 | composite |  -495100559620703520 | OK
  219 | composite |   -60743567022142464 | OK
  220 | composite |  -543813536434660800 | OK
  221 | composite |     -272191344122880 | OK
  222 | composite |  -642171223485570240 | OK
  223 |     prime |                    0 | OK
  224 | composite |  -628640557876670976 | OK
  225 | composite |   -77476650526080000 | OK
  226 | composite |  -665088924524115840 | OK
  227 |     prime |                    0 | OK
  228 | composite |  -813033889467891840 | OK
  229 |     prime |                    0 | OK
  230 | composite |  -769175257963017600 | OK
  231 | composite |   -94921360870533120 | OK
  232 | composite |  -838925535962349600 | OK
  233 |     prime |                    0 | OK
  234 | composite |  -990080685344840544 | OK
  235 | composite |    -1898771207424000 | OK
  236 | composite |  -965855044630415520 | OK
  237 | composite |  -118930561962900480 | OK
  238 | composite | -1014922508318490240 | OK
  239 |     prime |                    0 | OK
  240 | composite | -1242326772239788800 | OK
  241 |     prime |                    0 | OK
  242 | composite | -1163911302894019680 | OK
  243 | composite |  -146528227268398080 | OK
  244 | composite | -1269247756444634736 | OK
  245 | composite |    -1926841466995200 | OK
  246 | composite | -1492820660094240960 | OK
  247 | composite |     -443175367864320 | OK
  248 | composite | -1449020296810437120 | OK
  249 | composite |  -180674958950164224 | OK
  250 | composite | -1521892096987080000 | OK
  251 |     prime |                    0 | OK
  252 | composite | -1850733681753297600 | OK
  253 | composite |      -93111318136320 | OK
  254 | composite | -1728117605132706816 | OK
  255 | composite |  -226700449503897600 | OK
  256 | composite | -1879380993849515520 | OK
  257 |     prime |                    0 | OK
  258 | composite | -2206190035550730240 | OK
  259 | composite |     1769890096364544 | OK
  260 | composite | -2141148498387444000 | OK
  261 | composite |  -267902529859491840 | OK
  262 | composite | -2225859329598384480 | OK
  263 |     prime |                    0 | OK
  264 | composite | -2712350224987603200 | OK
  265 | composite |    -7879842071712000 | OK
  266 | composite | -2517414028124244480 | OK
  267 | composite |  -325463772645411840 | OK
  268 | composite | -2734736887662902880 | OK
  269 |     prime |                    0 | OK
  270 | composite | -3210538755817814400 | OK
  271 |     prime |                    0 | OK
  272 | composite | -3085704349177775040 | OK
  273 | composite |  -390603471002035200 | OK
  274 | composite | -3207181801773216576 | OK
  275 | composite |   -11697609800448000 | OK
  276 | composite | -3907644287106712320 | OK
  277 |     prime |                    0 | OK
  278 | composite | -3609347197222680480 | OK
  279 | composite |  -469393267023581184 | OK
  280 | composite | -3920584286916729600 | OK
  281 |     prime |                    0 | OK
  282 | composite | -4569955224240522240 | OK
  283 |     prime |                    0 | OK
  284 | composite | -4391524238591480256 | OK
  285 | composite |  -581195827140364800 | OK
  286 | composite | -4548512847396598080 | OK
  287 | composite |     3059691514306560 | OK
  288 | composite | -5534195385298979520 | OK
  289 | composite |     -686467710978048 | OK
  290 | composite | -5112088788813753600 | OK
  291 | composite |  -670260367836057600 | OK
  292 | composite | -5508965939853104400 | OK
  293 |     prime |                    0 | OK
  294 | composite | -6422550617106128736 | OK
  295 | composite |   -24387514597171200 | OK
  296 | composite | -6152119493777730720 | OK
  297 | composite |  -792169361199659520 | OK
  298 | composite | -6355740482732104800 | OK
  299 | composite |     -816891391540224 | OK
  300 | composite | -7763232605431716000 | OK
  301 | composite |     3797677755379200 | OK
  302 | composite | -7084252651042238400 | OK
  303 | composite |  -939774468555187200 | OK
  304 | composite | -7648446172509340800 | OK
  305 | composite |   -34106667771052800 | OK
  306 | composite | -8906512015741878720 | OK
  307 |     prime |                    0 | OK
  308 | composite | -8507493109763746560 | OK
  309 | composite | -1106975016013561344 | OK
  310 | composite | -8801491513995840000 | OK
  311 |     prime |                    0 | OK
  312 | composite | -10654522940345880960 | OK
  313 |     prime |                    0 | OK
  314 | composite | -9726534983828366496 | OK
  315 | composite | -1339998888057984000 | OK
  316 | composite | -10488692910129586560 | OK
  317 |     prime |                    0 | OK
  318 | composite | -12192764185158863040 | OK
  319 | composite |     1134240809856000 | OK
  320 | composite | -11668906846236729600 | OK
  321 | composite | -1520962947570274560 | OK
  322 | composite | -11930918302543134720 | OK
  323 | composite |    -2503658146314240 | OK
  324 | composite | -14504334563209264488 | OK
  325 | composite |   -64537219446336000 | OK
  326 | composite | -13193902411573292640 | OK
  327 | composite | -1774582306574837760 | OK
  328 | composite | -14201379377158602720 | OK
  329 | composite |     5099463515510784 | OK
  330 | composite | -16563372895226995200 | OK
  331 |     prime |                    0 | OK
  332 | composite | -15681296101837655520 | OK
  333 | composite | -2058635497600765440 | OK
  334 | composite | -16066679680478446656 | OK
  335 | composite |   -85243237118899200 | OK
  336 | composite | -19514093925974215680 | OK
  337 |     prime |                    0 | OK
  338 | composite | -17698855052744742240 | OK
  339 | composite | -2394853003994056704 | OK
  340 | composite | -19130843816429839200 | OK
  341 | composite |     2350607851468800 | OK
  342 | composite | -22061053823339812320 | OK
  343 | composite |     5381349175910400 | OK
  344 | composite | -20924900459274398400 | OK
  345 | composite | -2886081918650956800 | OK
  346 | composite | -21400778925279616800 | OK
  347 |     prime |                    0 | OK
  348 | composite | -25992810196767005760 | OK
  349 |     prime |                    0 | OK
  350 | composite | -23614331413118040000 | OK
  351 | composite | -3189249946396200960 | OK
  352 | composite | -25227332055624441600 | OK
  353 |     prime |                    0 | OK
  354 | composite | -29218961825027251200 | OK
  355 | composite |  -147734945595417600 | OK
  356 | composite | -27665210432737921680 | OK
  357 | composite | -3678627906683735040 | OK
  358 | composite | -28224371067298241760 | OK
  359 |     prime |                    0 | OK
  360 | composite | -34414926903362023200 | OK
  361 | composite |    -2369941192483200 | OK
  362 | composite | -30887471025075581280 | OK
  363 | composite | -4220470725205109760 | OK
  364 | composite | -33139555654163527296 | OK
  365 | composite |  -191581308761356800 | OK
  366 | composite | -38326242036998957760 | OK
  367 |     prime |                    0 | OK
  368 | composite | -36211208061290976000 | OK
  369 | composite | -4827579722581803264 | OK
  370 | composite | -37089468025886870400 | OK
  371 | composite |     3975644713098240 | OK
  372 | composite | -44759968323528729600 | OK
  373 |     prime |                    0 | OK
  374 | composite | -40241168384882617152 | OK
  375 | composite | -5780373581848320000 | OK
  376 | composite | -43119625067723339520 | OK
  377 | composite |       47760076465920 | OK
  378 | composite | -49817805349322787840 | OK
  379 |     prime |                    0 | OK
  380 | composite | -47278542189827995200 | OK
  381 | composite | -6306869202771271680 | OK
  382 | composite | -47776328201549821440 | OK
  383 |     prime |                    0 | OK
  384 | composite | -57952926149458867200 | OK
  385 | composite |  -305030794518912000 | OK
  386 | composite | -51986431533814801920 | OK
  387 | composite | -7160697042455024640 | OK
  388 | composite | -55667957832813387600 | OK
  389 |     prime |                    0 | OK
  390 | composite | -64583658192108182400 | OK
  391 | composite |    -6352881541079040 | OK
  392 | composite | -60486438009521628720 | OK
  393 | composite | -8149725490175343360 | OK
  394 | composite | -61390721244039507936 | OK
  395 | composite |  -396912358696089600 | OK
  396 | composite | -74436278851571202720 | OK
  397 |     prime |                    0 | OK
  398 | composite | -66627548885378606400 | OK
  399 | composite | -9247235839327180800 | OK
  400 | composite | -71701670738879124000 | OK
  401 |     prime |                    0 | OK
  402 | composite | -82177353402872394240 | OK
  403 | composite |     1596580518973440 | OK
  404 | composite | -77273961319403732016 | OK
  405 | composite | -10928548630757145600 | OK
  406 | composite | -78293378896911265920 | OK
  407 | composite |    11649516361021440 | OK
  408 | composite | -94906364808052437120 | OK
  409 |     prime |                    0 | OK
  410 | composite | -85295561236924852800 | OK
  411 | composite | -11795051267577123840 | OK
  412 | composite | -90597338582736672960 | OK
  413 | composite |    -9982320019499520 | OK
  414 | composite | -104337665060251207104 | OK
  415 | composite |  -621639406298803200 | OK
  416 | composite | -97964900912772915840 | OK
  417 | composite | -13292486791222544640 | OK
  418 | composite | -99112898540964295680 | OK
  419 |     prime |                    0 | OK
  420 | composite | -120843418437349977600 | OK
  421 |     prime |                    0 | OK
  422 | composite | -107063770652320174560 | OK
  423 | composite | -14925929142468556800 | OK
  424 | composite | -114325602848907357600 | OK
  425 | composite |  -779532404400288000 | OK
  426 | composite | -131597269354767260160 | OK
  427 | composite |   -20735143609205760 | OK
  428 | composite | -123392924420569431840 | OK
  429 | composite | -16771313640470957568 | OK
  430 | composite | -125475952009183406400 | OK
  431 |     prime |                    0 | OK
  432 | composite | -151008321308661653760 | OK
  433 |     prime |                    0 | OK
  434 | composite | -134375744169726861312 | OK
  435 | composite | -19782131925510835200 | OK
  436 | composite | -143378154716467131120 | OK
  437 | composite |   -12941458635409920 | OK
  438 | composite | -164873185979361128640 | OK
  439 |     prime |                    0 | OK
  440 | composite | -155381800646767939200 | OK
  441 | composite | -21084365172848987520 | OK
  442 | composite | -155756365256757545280 | OK
  443 |     prime |                    0 | OK
  444 | composite | -188691234916591907136 | OK
  445 | composite | -1163083323852172800 | OK
  446 | composite | -167531735616986361600 | OK
  447 | composite | -23554623184453094400 | OK
  448 | composite | -178691322239878210560 | OK
  449 |     prime |                    0 | OK
  450 | composite | -206518797365121936000 | OK
  451 | composite |    26222237744102400 | OK
  452 | composite | -192003445210334723280 | OK
