Pre-computing partition stats for n=1..1000...

N     | Type       | Detector Value       | Status
783   | Comp       | 1218478067200        | OK
784   | Comp       | 4111336689735        | OK
785   | Comp       | 267485469264         | OK
786   | Comp       | 4838673293520        | OK
787   | PRIME      | 0                    | OK
788   | Comp       | 4057830238275        | OK
789   | Comp       | 1229430996640        | OK
790   | Comp       | 3873052794360        | OK
791   | Comp       | 96118525440          | OK
792   | Comp       | 5702636930055        | OK
793   | Comp       | 8796572400           | OK
794   | Comp       | 3660924041775        | OK
795   | Comp       | 1565866527552        | OK
796   | Comp       | 4268663039550        | OK
797   | PRIME      | 0                    | OK
798   | Comp       | 5323771439200        | OK
799   | Comp       | 568074240            | OK
800   | Comp       | 4763006716374        | OK
801   | Comp       | 1369819723440        | OK
802   | Comp       | 3849497468700        | OK
803   | Comp       | 20486692800          | OK
804   | Comp       | 6025190521280        | OK
805   | Comp       | 406050506880         | OK
806   | Comp       | 3952816202160        | OK
807   | Comp       | 1376940562560        | OK
808   | Comp       | 4670002492575        | OK
809   | PRIME      | 0                    | OK
810   | Comp       | 6017816550669        | OK
811   | PRIME      | 0                    | OK
812   | Comp       | 4829579418060        | OK
813   | Comp       | 1429137748800        | OK
814   | Comp       | 4166132548470        | OK
815   | Comp       | 323504508096         | OK
816   | Comp       | 6562574249730        | OK
817   | Comp       | -1187580240          | OK
818   | Comp       | 4249952795250        | OK
819   | Comp       | 1655164369600        | OK
820   | Comp       | 5319559567938        | OK
821   | PRIME      | 0                    | OK
822   | Comp       | 6057457265370        | OK
823   | PRIME      | 0                    | OK
824   | Comp       | 5152778508150        | OK
825   | Comp       | 1907182396432        | OK
826   | Comp       | 4589940820080        | OK
827   | PRIME      | 0                    | OK
828   | Comp       | 7032424464650        | OK
829   | PRIME      | 0                    | OK
830   | Comp       | 4962197058210        | OK
831   | Comp       | 1595296861760        | OK
832   | Comp       | 5419328251365        | OK
833   | Comp       | 126629956800         | OK
834   | Comp       | 6514202223200        | OK
835   | Comp       | 365794290624         | OK
836   | Comp       | 5479855713360        | OK
837   | Comp       | 1704837269760        | OK
838   | Comp       | 4796669741325        | OK
839   | PRIME      | 0                    | OK
840   | Comp       | 8138806926720        | OK
841   | Comp       | -2123826600          | OK
842   | Comp       | 4912471285785        | OK
843   | Comp       | 1714401102400        | OK
844   | Comp       | 5725265174925        | OK
845   | Comp       | 401471725536         | OK
846   | Comp       | 7056270981300        | OK
847   | Comp       | 164258706240         | OK
848   | Comp       | 5954309601075        | OK
849   | Comp       | 1776563005360        | OK
850   | Comp       | 5589223869978        | OK
851   | Comp       | -3490534080          | OK
852   | Comp       | 8061107122320        | OK
853   | PRIME      | 0                    | OK
854   | Comp       | 5425276180860        | OK
855   | Comp       | 2319436831360        | OK
856   | Comp       | 6238035494415        | OK
857   | PRIME      | 0                    | OK
858   | Comp       | 7546615213200        | OK
859   | PRIME      | 0                    | OK
860   | Comp       | 6756683276574        | OK
861   | Comp       | 2052460594240        | OK
862   | Comp       | 5525509613940        | OK
863   | PRIME      | 0                    | OK
864   | Comp       | 8805394816050        | OK
865   | Comp       | 437409751056         | OK
866   | Comp       | 5655151211220        | OK
867   | Comp       | 1975850958720        | OK
868   | Comp       | 6750057484800        | OK
869   | Comp       | 31721976000          | OK
870   | Comp       | 8550551196900        | OK
871   | Comp       | 15499397760          | OK
872   | Comp       | 6845269619925        | OK
873   | Comp       | 2112125890000        | OK
874   | Comp       | 5917194786000        | OK
875   | Comp       | 620849384064         | OK
876   | Comp       | 9267210393490        | OK
877   | PRIME      | 0                    | OK
878   | Comp       | 6058743525450        | OK
879   | Comp       | 2115000547520        | OK
880   | Comp       | 7725661735470        | OK
881   | PRIME      | 0                    | OK
882   | Comp       | 8874863521005        | OK
883   | PRIME      | 0                    | OK
884   | Comp       | 7235795245770        | OK
885   | Comp       | 2687226638880        | OK
886   | Comp       | 6340369713015        | OK
887   | PRIME      | 0                    | OK
888   | Comp       | 10030225486450       | OK
889   | Comp       | 175334261760         | OK
890   | Comp       | 7042369507830        | OK
891   | Comp       | 2371794718720        | OK
892   | Comp       | 7554847242600        | OK
893   | Comp       | -644846400           | OK
894   | Comp       | 9229462478250        | OK
895   | Comp       | 519823368000         | OK
896   | Comp       | 8038949211630        | OK
897   | Comp       | 2356116239680        | OK
898   | Comp       | 6782353578000        | OK
899   | Comp       | -5348448000          | OK
900   | Comp       | 11284362682825       | OK
901   | Comp       | 2870562240           | OK
902   | Comp       | 6970564934550        | OK
903   | Comp       | 2608624304000        | OK
904   | Comp       | 8201523508950        | OK
905   | Comp       | 549895273200         | OK
906   | Comp       | 9867655731920        | OK
907   | PRIME      | 0                    | OK
908   | Comp       | 8259031542825        | OK
909   | Comp       | 2588041998880        | OK
910   | Comp       | 8099099139768        | OK
911   | PRIME      | 0                    | OK
912   | Comp       | 11472939460160       | OK
913   | Comp       | 41583889200          | OK
914   | Comp       | 7409653840710        | OK
915   | Comp       | 3178145599552        | OK
916   | Comp       | 8630285859195        | OK
917   | Comp       | 205591969440         | OK
918   | Comp       | 10629321578100       | OK
919   | PRIME      | 0                    | OK
920   | Comp       | 9609819552900        | OK
921   | Comp       | 2673510082320        | OK
922   | Comp       | 7740245829855        | OK
923   | Comp       | 21796689600          | OK
924   | Comp       | 12373418936480       | OK
925   | Comp       | 609116055744         | OK
926   | Comp       | 7909908694380        | OK
927   | Comp       | 2856189860160        | OK
928   | Comp       | 9354049733025        | OK
929   | PRIME      | 0                    | OK
930   | Comp       | 11951562869760       | OK
931   | Comp       | 222060770880         | OK
932   | Comp       | 9412841433060        | OK
933   | Comp       | 2853015932000        | OK
934   | Comp       | 8258159600145        | OK
935   | Comp       | 699974016768         | OK
936   | Comp       | 13183724115835       | OK
937   | PRIME      | 0                    | OK
938   | Comp       | 8684410906800        | OK
939   | Comp       | 2946313797440        | OK
940   | Comp       | 10559323950504       | OK
941   | PRIME      | 0                    | OK
942   | Comp       | 11996844459770       | OK
943   | Comp       | -4316928000          | OK
944   | Comp       | 10198081136475       | OK
945   | Comp       | 4073636348800        | OK
946   | Comp       | 8850307717680        | OK
947   | PRIME      | 0                    | OK
948   | Comp       | 13775058981600       | OK
949   | Comp       | 25611536160          | OK
950   | Comp       | 9762787805715        | OK
951   | Comp       | 3140231242240        | OK
952   | Comp       | 10896761437020       | OK
953   | PRIME      | 0                    | OK
954   | Comp       | 12894568253595       | OK
955   | Comp       | 721836326400         | OK
956   | Comp       | 10692143499060       | OK
957   | Comp       | 3288085762080        | OK
958   | Comp       | 9377136654600        | OK
959   | Comp       | 258665080320         | OK
960   | Comp       | 15668435757554       | OK
961   | Comp       | -3393830400          | OK
962   | Comp       | 9596544254640        | OK
963   | Comp       | 3459118449600        | OK
964   | Comp       | 11148173030610       | OK
965   | Comp       | 760882104576         | OK
966   | Comp       | 13891022869440       | OK
967   | PRIME      | 0                    | OK
968   | Comp       | 11611133804250       | OK
969   | Comp       | 3456215162400        | OK
970   | Comp       | 10843734884178       | OK
971   | PRIME      | 0                    | OK
972   | Comp       | 15732926680275       | OK
973   | Comp       | 278602514400         | OK
974   | Comp       | 10188199649790       | OK
975   | Comp       | 4398917245632        | OK
976   | Comp       | 12054247433865       | OK
977   | PRIME      | 0                    | OK
978   | Comp       | 14478662214800       | OK
979   | Comp       | 60774120000          | OK
980   | Comp       | 13319205300135       | OK
981   | Comp       | 3796550394560        | OK
982   | Comp       | 10614250863195       | OK
983   | PRIME      | 0                    | OK
984   | Comp       | 16793321560050       | OK
985   | Comp       | 844040547504         | OK
986   | Comp       | 10831702302990       | OK
987   | Comp       | 4081284523520        | OK
988   | Comp       | 12637155401850       | OK
989   | Comp       | -4655518560          | OK
990   | Comp       | 16554828416742       | OK
991   | PRIME      | 0                    | OK
992   | Comp       | 13070975785560       | OK
993   | Comp       | 3900879052400        | OK
994   | Comp       | 11614392806400       | OK
995   | Comp       | 888260472000         | OK
996   | Comp       | 17648704430560       | OK
997   | PRIME      | 0                    | OK
998   | Comp       | 11509108835625       | OK
999   | Comp       | 4152736246400        | OK
1000  | Comp       | 14605584153810       | OK
-------------------------------------------------------
VERIFIED: Formula works perfectly for ALL integers 2 to 1000
