Pre-computing partition stats for n=1..1000...

N     | Type       | Detector Value       | Status
188   | Comp       | 2988612900           | OK
189   | Comp       | 924481600            | OK
190   | Comp       | 2936778690           | OK
191   | PRIME      | 0                    | OK
192   | Comp       | 4369919505           | OK
193   | PRIME      | 0                    | OK
194   | Comp       | 3088146600           | OK
195   | Comp       | 1222376512           | OK
196   | Comp       | 3720522945           | OK
197   | PRIME      | 0                    | OK
198   | Comp       | 4637597475           | OK
199   | PRIME      | 0                    | OK
200   | Comp       | 4314735810           | OK
201   | Comp       | 1227004240           | OK
202   | Comp       | 3785968425           | OK
203   | Comp       | 52920000             | OK
204   | Comp       | 5936765730           | OK
205   | Comp       | 255410400            | OK
206   | Comp       | 4179266910           | OK
207   | Comp       | 1425544640           | OK
208   | Comp       | 4979356725           | OK
209   | Comp       | -21762000            | OK
210   | Comp       | 6591499968           | OK
211   | PRIME      | 0                    | OK
212   | Comp       | 5489990055           | OK
213   | Comp       | 1649104800           | OK
214   | Comp       | 5063858235           | OK
215   | Comp       | 329890176            | OK
216   | Comp       | 7976102450           | OK
217   | Comp       | 80912640             | OK
218   | Comp       | 5559060375           | OK
219   | Comp       | 1899787200           | OK
220   | Comp       | 6957655278           | OK
221   | Comp       | -35259840            | OK
222   | Comp       | 8321263370           | OK
223   | PRIME      | 0                    | OK
224   | Comp       | 7353162990           | OK
225   | Comp       | 2589417536           | OK
226   | Comp       | 6665622180           | OK
227   | PRIME      | 0                    | OK
228   | Comp       | 10453391200          | OK
229   | PRIME      | 0                    | OK
230   | Comp       | 7743489300           | OK
231   | Comp       | 2586016640           | OK
232   | Comp       | 8713070025           | OK
233   | PRIME      | 0                    | OK
234   | Comp       | 10836154805          | OK
235   | Comp       | 530335104            | OK
236   | Comp       | 9440348715           | OK
237   | Comp       | 2839653440           | OK
238   | Comp       | 8744280300           | OK
239   | PRIME      | 0                    | OK
240   | Comp       | 14167400306          | OK
241   | PRIME      | 0                    | OK
242   | Comp       | 9379906965           | OK
243   | Comp       | 3248526400           | OK
244   | Comp       | 11171404125          | OK
245   | Comp       | 831151584            | OK
246   | Comp       | 13989266970          | OK
247   | Comp       | -48464640            | OK
248   | Comp       | 12213293400          | OK
249   | Comp       | 3649974160           | OK
250   | Comp       | 11811715734          | OK
251   | PRIME      | 0                    | OK
252   | Comp       | 17553549950          | OK
253   | Comp       | -26479200            | OK
254   | Comp       | 12000653280          | OK
255   | Comp       | 4874728320           | OK
256   | Comp       | 14309927565          | OK
257   | PRIME      | 0                    | OK
258   | Comp       | 17797920800          | OK
259   | Comp       | 235350720            | OK
260   | Comp       | 16246247724          | OK
261   | Comp       | 4683249280           | OK
262   | Comp       | 14027178165          | OK
263   | PRIME      | 0                    | OK
264   | Comp       | 22103062800          | OK
265   | Comp       | 1001450736           | OK
266   | Comp       | 15346499760          | OK
267   | Comp       | 5202246720           | OK
268   | Comp       | 17937193425          | OK
269   | PRIME      | 0                    | OK
270   | Comp       | 23498006100          | OK
271   | PRIME      | 0                    | OK
272   | Comp       | 19408631670          | OK
273   | Comp       | 6080356800           | OK
274   | Comp       | 17571575190          | OK
275   | Comp       | 1193892480           | OK
276   | Comp       | 27555622640          | OK
277   | PRIME      | 0                    | OK
278   | Comp       | 18900285075          | OK
279   | Comp       | 6584728320           | OK
280   | Comp       | 24212759820          | OK
281   | PRIME      | 0                    | OK
282   | Comp       | 27894148320          | OK
283   | PRIME      | 0                    | OK
284   | Comp       | 24030767070          | OK
285   | Comp       | 8621841760           | OK
286   | Comp       | 21710911110          | OK
287   | Comp       | 425617920            | OK
288   | Comp       | 34420622700          | OK
289   | Comp       | -49057920            | OK
290   | Comp       | 25016576760          | OK
291   | Comp       | 8049171200           | OK
292   | Comp       | 27643406700          | OK
293   | PRIME      | 0                    | OK
294   | Comp       | 34825253925          | OK
295   | Comp       | 1758374400           | OK
296   | Comp       | 29875130415          | OK
297   | Comp       | 9045873760           | OK
298   | Comp       | 26802934125          | OK
299   | Comp       | -75176640            | OK
300   | Comp       | 43894605699          | OK
301   | Comp       | 557541600            | OK
302   | Comp       | 28661130450          | OK
303   | Comp       | 9877816000           | OK
304   | Comp       | 34067561325          | OK
305   | Comp       | 2093058000           | OK
306   | Comp       | 42169581090          | OK
307   | PRIME      | 0                    | OK
308   | Comp       | 36702234000          | OK
309   | Comp       | 10909019680          | OK
310   | Comp       | 35034065328          | OK
311   | PRIME      | 0                    | OK
312   | Comp       | 51542930530          | OK
313   | PRIME      | 0                    | OK
314   | Comp       | 34862239035          | OK
315   | Comp       | 15302136256          | OK
316   | Comp       | 41158580220          | OK
317   | PRIME      | 0                    | OK
318   | Comp       | 51146131050          | OK
319   | Comp       | 7896000              | OK
320   | Comp       | 46930017519          | OK
321   | Comp       | 13229575920          | OK
322   | Comp       | 40264844160          | OK
323   | Comp       | -143856000           | OK
324   | Comp       | 62196786045          | OK
325   | Comp       | 2829699936           | OK
326   | Comp       | 42093027405          | OK
327   | Comp       | 14529271680          | OK
328   | Comp       | 50158579800          | OK
329   | Comp       | 916894080            | OK
330   | Comp       | 64814027760          | OK
331   | PRIME      | 0                    | OK
332   | Comp       | 52784058285          | OK
333   | Comp       | 16219661600          | OK
334   | Comp       | 47546059470          | OK
335   | Comp       | 3411993024           | OK
336   | Comp       | 75875156560          | OK
337   | PRIME      | 0                    | OK
338   | Comp       | 50389181325          | OK
339   | Comp       | 17434874240          | OK
340   | Comp       | 63177373854          | OK
341   | Comp       | 42134400             | OK
342   | Comp       | 73979277185          | OK
343   | Comp       | 1154496000           | OK
344   | Comp       | 63778722975          | OK
345   | Comp       | 22875511872          | OK
346   | Comp       | 56771451975          | OK
347   | PRIME      | 0                    | OK
348   | Comp       | 89003022850          | OK
349   | PRIME      | 0                    | OK
350   | Comp       | 65784492018          | OK
351   | Comp       | 21107761920          | OK
352   | Comp       | 71504511975          | OK
353   | PRIME      | 0                    | OK
354   | Comp       | 87820684800          | OK
355   | Comp       | 4609886400           | OK
356   | Comp       | 75007983960          | OK
357   | Comp       | 23886707520          | OK
358   | Comp       | 67376295225          | OK
359   | PRIME      | 0                    | OK
360   | Comp       | 111780615765         | OK
361   | Comp       | -107832600           | OK
362   | Comp       | 71243282565          | OK
363   | Comp       | 24732008000          | OK
364   | Comp       | 85259715660          | OK
365   | Comp       | 5323215456           | OK
366   | Comp       | 103880605370         | OK
367   | PRIME      | 0                    | OK
368   | Comp       | 89402132250          | OK
369   | Comp       | 27324374000          | OK
370   | Comp       | 85515431268          | OK
371   | Comp       | 1774768320           | OK
372   | Comp       | 124636836800         | OK
373   | PRIME      | 0                    | OK
374   | Comp       | 83821021830          | OK
375   | Comp       | 34974798976          | OK
376   | Comp       | 99861189540          | OK
377   | Comp       | -81743760            | OK
378   | Comp       | 124429450400         | OK
379   | PRIME      | 0                    | OK
380   | Comp       | 110809681290         | OK
381   | Comp       | 31461480960          | OK
382   | Comp       | 93331603920          | OK
383   | PRIME      | 0                    | OK
384   | Comp       | 147314129425         | OK
385   | Comp       | 9354934848           | OK
386   | Comp       | 98343170640          | OK
387   | Comp       | 34793936320          | OK
388   | Comp       | 115665546150         | OK
389   | PRIME      | 0                    | OK
390   | Comp       | 150684903012         | OK
391   | Comp       | -261803520           | OK
392   | Comp       | 125434550835         | OK
393   | Comp       | 36794872400          | OK
394   | Comp       | 109012035825         | OK
395   | Comp       | 8006544000           | OK
396   | Comp       | 171655911415         | OK
397   | PRIME      | 0                    | OK
398   | Comp       | 114682911750         | OK
399   | Comp       | 42049283200          | OK
400   | Comp       | 145026966750         | OK
401   | PRIME      | 0                    | OK
402   | Comp       | 166610576720         | OK
403   | Comp       | -60614400            | OK
404   | Comp       | 141734003355         | OK
405   | Comp       | 52707644480          | OK
406   | Comp       | 129475471740         | OK
407   | Comp       | 275460480            | OK
408   | Comp       | 200085797250         | OK
409   | PRIME      | 0                    | OK
410   | Comp       | 143424196398         | OK
411   | Comp       | 46127865280          | OK
412   | Comp       | 156422314230         | OK
413   | Comp       | 3171880800           | OK
414   | Comp       | 193988437890         | OK
415   | Comp       | 10328087616          | OK
416   | Comp       | 165845675205         | OK
417   | Comp       | 49627915120          | OK
418   | Comp       | 146672232000         | OK
419   | PRIME      | 0                    | OK
420   | Comp       | 244300392448         | OK
421   | PRIME      | 0                    | OK
422   | Comp       | 153868449105         | OK
423   | Comp       | 54612880000          | OK
424   | Comp       | 182888167275         | OK
425   | Comp       | 11344387824          | OK
426   | Comp       | 223070998320         | OK
427   | Comp       | 3793894080           | OK
428   | Comp       | 189449812575         | OK
429   | Comp       | 57662692640          | OK
430   | Comp       | 182287868070         | OK
431   | PRIME      | 0                    | OK
432   | Comp       | 268145114930         | OK
433   | PRIME      | 0                    | OK
434   | Comp       | 181117520640         | OK
435   | Comp       | 74343243840          | OK
436   | Comp       | 207934303665         | OK
437   | Comp       | -409479840           | OK
438   | Comp       | 256532457050         | OK
439   | PRIME      | 0                    | OK
440   | Comp       | 235340057070         | OK
441   | Comp       | 71733363240          | OK
442   | Comp       | 193767759990         | OK
443   | PRIME      | 0                    | OK
444   | Comp       | 304198112050         | OK
445   | Comp       | 14789095200          | OK
446   | Comp       | 203100496200         | OK
447   | Comp       | 70456347200          | OK
448   | Comp       | 245741856750         | OK
449   | PRIME      | 0                    | OK
450   | Comp       | 311803931596         | OK
451   | Comp       | 602347200            | OK
452   | Comp       | 249229215090         | OK
453   | Comp       | 75356204000          | OK
454   | Comp       | 222052219005         | OK
